;Krebs gesamt (C00-C97 ohne C44);Mundhöhle und Rachen (C00-C14);Verdauungsorgane (C15-C26);Magen (C16);Darm (C18-C20);Leber (C22);Atmungs- und Brustorgane (C30-C39);Lunge (C33-C34);Knochen u. Gelenkknorpel (C40-C41);Malignes Melanom der Haut (C43);Brustdrüse (C50);weibliche Geschlechtsorgane (C51-C58);Gebärmutterhals (C53);Eierstöcke (C56);Harnorgane (C64-C68);Auge, Gehirn u. Zentrales Nervensystem (C69-C72);Endokrine Drüsen (C73-C75);Schilddrüse (C73);Non-Hodgkin-Lymphome (C82-C88);Multiples Myelom (C90);Leukämien (C91-C95);
1999;147,1;1,9;46,9;8,2;20,2;2,9;15,6;15,0;0,4;1,5;28,5;17,8;3,5;8,9;6,1;4,3;1,1;0,8;4,1;2,6;5,1;
2000;144,1;1,8;45,0;8,2;19,0;2,7;16,3;15,7;0,3;1,6;28,3;17,4;3,3;9,1;6,1;4,3;0,9;0,7;3,8;2,3;4,8;
2001;140,3;1,8;43,8;7,6;18,4;2,6;16,3;15,8;0,4;1,6;27,5;16,8;3,2;8,8;5,8;4,5;0,9;0,7;3,7;2,5;4,5;
2002;140,0;1,6;43,6;7,4;18,1;2,8;16,9;16,3;0,3;1,6;27,6;16,6;3,0;8,7;5,6;4,5;0,9;0,7;3,7;2,4;4,6;
2003;137,2;1,7;42,7;7,2;17,8;2,9;17,1;16,5;0,3;1,5;26,5;16,1;3,0;8,4;5,7;4,4;0,9;0,6;3,6;2,4;4,6;
2004;135,2;1,6;40,8;6,6;16,8;2,8;17,6;17,0;0,4;1,6;26,8;15,4;2,8;7,9;5,6;4,4;0,8;0,6;3,6;2,4;4,4;
2005;134,4;1,8;40,0;6,4;16,2;2,8;18,4;17,9;0,3;1,6;26,2;15,1;2,7;7,9;5,6;4,4;0,8;0,6;3,3;2,3;4,5;
2006;131,6;1,7;39,0;6,0;15,5;3,0;18,6;18,1;0,3;1,5;25,5;14,8;2,5;7,9;5,3;4,2;1,0;0,6;3,4;2,2;4,3;
2007;129,8;1,8;38,3;5,7;14,9;2,9;19,1;18,5;0,3;1,6;24,3;14,7;2,6;7,7;5,3;4,1;0,8;0,5;3,2;2,2;4,2;
2008;130,5;1,8;37,5;5,6;14,5;3,1;19,8;19,2;0,3;1,6;24,6;14,6;2,6;7,6;5,4;4,2;0,9;0,5;3,2;2,2;4,2;
2009;128,6;1,8;36,8;5,4;13,9;3,0;19,8;19,3;0,3;1,7;24,0;14,6;2,6;7,7;5,3;4,2;0,9;0,5;3,2;2,1;4,1;
2010;127,9;1,8;36,4;5,1;13,6;3,0;20,4;19,8;0,3;1,6;24,0;14,4;2,5;7,5;5,3;4,1;0,9;0,5;3,3;2,2;4,0;
2011;129,7;2,0;36,5;5,2;13,4;3,1;21,5;20,9;0,4;1,7;24,5;15,0;2,6;7,9;5,3;4,3;0,9;0,5;3,4;2,2;4,2;
2012;127,2;1,9;35,7;4,9;12,9;3,0;21,8;21,3;0,3;1,7;23,9;14,5;2,6;7,5;5,4;4,2;0,9;0,5;3,3;2,1;4,0;
2013;126,7;2,0;35,0;4,6;12,7;3,0;22,3;21,7;0,3;1,7;23,6;14,1;2,5;7,1;5,4;4,2;1,0;0,5;3,3;2,1;4,1;
2014;124,1;1,9;34,4;4,6;12,4;2,9;22,3;21,7;0,3;1,7;23,0;13,6;2,4;6,9;5,3;4,3;0,9;0,4;3,1;2,1;4,0;
2015;124,2;1,9;34,1;4,3;12,1;3,1;22,7;22,1;0,3;1,6;23,0;13,8;2,4;6,9;5,4;4,0;0,9;0,4;3,1;2,1;3,9;
2016;125,1;1,8;34,2;4,4;11,8;3,0;23,2;22,6;0,3;1,5;23,4;13,8;2,4;6,9;5,2;4,3;0,7;0,4;3,2;2,1;4,0;
2017;122,9;1,8;33,2;4,1;11,3;3,1;22,7;22,1;0,3;1,6;22,8;13,8;2,5;6,6;5,2;4,2;0,8;0,4;3,1;1,9;3,8;
2018;122,3;1,9;33,3;4,1;11,3;3,0;22,5;22,0;0,3;1,4;22,8;13,7;2,6;6,6;5,1;4,1;0,6;0,4;3,2;1,9;3,9;
2019;121,3;1,9;33,2;3,8;11,2;3,0;22,7;22,2;0,3;1,4;22,3;13,5;2,5;6,5;4,9;4,0;0,7;0,4;3,1;1,8;3,7;
2020;118,7;1,7;32,6;3,6;10,7;3,1;22,4;21,9;0,3;1,4;21,8;13,4;2,4;6,4;5,1;3,9;0,6;0,4;3,0;1,8;3,5;
2021;117,2;1,7;31,6;3,6;10,2;3,0;22,5;22,1;0,3;1,4;21,5;13,0;2,3;6,3;4,9;4,1;0,6;0,4;3,0;1,8;3,5;
2022;117,7;1,7;31,4;3,5;10,2;3,1;22,9;22,4;0,3;1,5;21,7;13,1;2,4;6,1;4,9;4,1;0,6;0,4;2,9;1,7;3,6;
2023;117,1;1,7;31,4;3,4;10,2;3,1;23,0;22,6;0,3;1,5;21,2;13,0;2,2;6,2;4,9;4,0;0,6;0,4;3,0;1,6;3,4;
