;Krebs gesamt (C00-C97 ohne C44);Mundhöhle und Rachen (C00-C14);Verdauungsorgane (C15-C26);Magen (C16);Darm (C18-C20);Leber (C22);Atmungs- und Brustorgane (C30-C39);Lunge (C33-C34);Knochen u. Gelenkknorpel (C40-C41);Malignes Melanom der Haut (C43);Brustdrüse (C50);männliche Geschlechtsorgane (C60-C63);Prostata (C61);Hoden (C62);Harnorgane (C64-C68);Auge, Gehirn u. Zentrales Nervensystem (C69-C72);Endokrine Drüsen (C73-C75);Schilddrüse (C73);Non-Hodgkin-Lymphome (C82-C88);Multiples Myelom (C90);Leukämien (C91-C95);
1999;463,4;16,8;127,3;23,6;64,3;8,2;85,4;76,2;1,0;13,8;1,0;105,8;96,0;8,5;47,0;8,6;3,5;2,9;15,1;5,0;13,1;
2000;461,3;17,2;126,5;22,4;65,1;8,7;84,2;75,6;0,9;15,1;1,0;105,9;96,6;8,3;47,5;8,4;3,8;3,2;14,1;5,4;12,3;
2001;459,0;16,9;126,2;21,9;64,5;9,1;80,2;71,8;0,9;14,1;0,9;107,9;97,7;8,9;47,1;9,1;3,7;3,2;14,0;5,8;13,2;
2002;476,1;17,3;128,6;21,2;68,5;8,7;79,7;71,0;0,9;14,7;0,9;122,9;112,1;9,4;47,0;8,6;3,7;3,2;14,6;5,1;12,8;
2003;493,5;18,4;126,1;19,9;66,1;9,3;78,5;69,9;1,0;15,7;1,0;140,5;130,2;8,9;46,5;8,9;3,5;3,0;14,8;5,5;14,3;
2004;483,5;17,7;127,2;19,5;67,0;9,1;79,0;70,2;1,1;15,5;0,9;130,1;118,5;9,9;46,1;8,9;3,5;3,0;14,9;6,0;13,6;
2005;479,0;18,6;125,7;20,5;64,6;9,1;77,7;68,7;1,1;15,7;1,1;127,8;116,5;10,0;44,1;9,2;3,7;3,1;15,1;5,7;14,0;
2006;485,9;18,7;123,5;19,1;63,7;9,2;77,2;68,2;1,1;15,7;1,0;136,2;124,4;10,3;44,1;9,2;3,8;3,2;15,4;5,9;14,6;
2007;497,1;19,6;127,4;18,8;66,3;10,1;75,8;67,5;1,1;16,2;1,1;142,5;130,4;10,5;43,3;9,1;4,4;3,9;16,0;6,0;14,6;
2008;492,5;19,7;127,5;18,5;66,6;10,2;75,0;66,3;1,0;20,1;1,0;134,4;122,9;10,0;43,6;9,5;4,6;4,1;15,9;6,1;14,7;
2009;483,2;19,7;122,8;17,9;62,7;10,1;73,6;65,4;1,1;20,5;1,1;131,5;119,6;10,4;42,4;9,4;4,7;4,2;16,5;6,1;14,6;
2010;476,7;19,1;119,7;17,0;60,3;10,4;72,4;64,2;1,0;20,1;1,1;131,3;119,6;10,1;42,0;9,5;4,3;3,8;16,4;6,2;14,7;
2011;483,2;19,9;121,1;18,0;60,1;10,4;71,1;63,1;1,2;21,8;1,0;132,4;120,4;10,5;41,8;9,7;4,7;4,1;16,6;6,5;15,2;
2012;468,1;18,6;118,0;16,9;58,3;10,5;69,5;61,7;1,0;21,4;1,2;125,3;113,0;10,7;41,5;9,3;4,7;4,1;16,5;6,4;14,9;
2013;456,0;18,8;116,7;16,6;56,7;10,7;68,8;61,3;1,1;21,2;1,2;115,2;102,4;11,2;41,1;9,4;5,0;4,4;16,4;6,3;15,0;
2014;446,7;18,1;114,6;16,3;54,9;10,9;67,8;60,3;1,1;21,5;1,1;111,0;98,4;10,8;40,4;9,2;4,6;4,0;16,8;6,3;15,0;
2015;443,6;18,0;114,0;15,9;54,3;10,4;67,7;60,4;1,2;21,3;1,1;109,5;97,1;10,7;39,7;9,1;4,6;4,0;17,0;6,5;14,7;
2016;440,0;17,7;111,5;15,0;52,8;10,8;66,1;58,7;1,1;21,3;1,1;111,3;99,1;10,4;38,4;9,1;4,6;4,1;17,3;6,8;14,7;
2017;441,8;17,4;110,8;15,1;52,6;10,3;64,7;57,7;1,0;21,4;1,1;115,3;103,6;10,1;38,2;9,0;4,6;4,1;17,6;6,7;14,9;
2018;443,8;16,9;112,3;14,9;53,6;10,7;63,9;56,8;1,1;22,0;1,1;118,3;105,6;10,8;38,1;8,9;4,4;3,9;17,2;6,4;14,4;
2019;448,1;16,7;111,4;14,5;52,8;10,7;62,8;55,8;1,1;22,2;1,1;123,8;111,4;10,7;38,3;9,0;4,6;4,0;17,6;6,6;14,3;
2020;424,1;15,7;104,4;14,0;47,7;10,2;59,5;53,1;1,2;21,0;1,1;115,0;102,7;10,6;37,2;8,8;4,5;3,8;17,3;6,2;14,5;
2021;425,4;15,6;103,1;14,0;46,9;9,9;59,2;52,7;1,1;22,3;1,1;119,7;107,4;10,6;36,4;9,1;4,4;3,8;16,7;6,2;14,0;
2022;423,7;15,0;101,0;13,6;46,1;9,6;57,0;51,0;1,0;22,8;1,1;125,2;112,6;10,9;35,8;8,7;4,3;3,7;16,1;6,1;13,2;
2023;418,1;14,0;99,2;13,6;45,2;9,4;55,4;49,4;1,0;22,9;1,2;126,0;114,7;9,7;35,8;7,9;4,6;3,8;15,5;6,1;12,9;
