Jahr,Übergewicht(%),Adipositas(%),Mangelnde_Bewegung(%),Aktuelle Tabak-Raucher-Prävalenz(%),Bluthochdruck(%),Alkoholkonsum_avg_täglich(g),Hoher_Alkoholkonsum_in_den_letzten_30_Tagen(%),Feinstaubkonzentration (PM2.5)
1999,60.05,17.75,,,46.1,,,
2000,60.61,18.29,19.08,39.5,45.5,47.8,48.34,
2001,61.15,18.82,18.88,,44.9,47.8,47.98,
2002,61.66,19.34,18.67,,44.3,46.62,47.72,
2003,62.13,19.83,18.44,,43.8,45.84,47.38,
2004,62.58,20.29,18.21,,43.2,45.17,47.24,
2005,62.97,20.71,17.95,35.5,42.7,44.93,47.03,
2006,63.31,21.07,17.68,,42.1,44.48,47.04,
2007,63.57,21.38,17.39,34.1,41.6,44.08,46.83,
2008,63.76,21.63,17.07,,41.0,43.4,46.72,
2009,63.87,21.81,16.74,,40.5,42.9,46.34,
2010,63.9,21.91,16.38,32.1,39.9,42.68,46.24,15.06
2011,63.88,21.96,16.01,,39.3,42.52,46.48,15.42
2012,63.8,21.97,15.63,,38.6,42.49,46.3,13.76
2013,63.7,21.96,15.25,,38.0,42.15,46.3,13.27
2014,63.59,21.95,14.88,,37.3,41.87,46.26,12.47
2015,63.48,21.96,14.53,29.0,36.7,41.55,46.11,12.64
2016,63.38,21.99,14.19,,36.1,41.6,46.22,11.66
2017,63.27,22.03,13.86,,35.5,41.76,46.47,11.78
2018,63.16,22.07,13.54,,34.9,41.73,46.54,11.7
2019,63.03,22.12,13.23,,34.4,41.73,46.32,10.73
2020,62.9,22.18,12.93,26.4,,40.46,45.96,
2021,62.77,22.25,12.64,,,,,
2022,62.65,22.33,12.36,25.3,,,,
